Migration_Scenario,Year,FIPS,Area_Name,Total_Population
1,2020,48001,Anderson,57922
1,2021,48001,Anderson,58123
1,2022,48001,Anderson,58284
1,2023,48001,Anderson,58435
1,2024,48001,Anderson,58586
1,2025,48001,Anderson,58708
1,2026,48001,Anderson,58833
1,2027,48001,Anderson,58926
1,2028,48001,Anderson,59003
1,2029,48001,Anderson,59082
1,2030,48001,Anderson,59147
1,2031,48001,Anderson,59200
1,2032,48001,Anderson,59223
1,2033,48001,Anderson,59258
1,2034,48001,Anderson,59277
1,2035,48001,Anderson,59292
1,2036,48001,Anderson,59301
1,2037,48001,Anderson,59286
1,2038,48001,Anderson,59273
1,2039,48001,Anderson,59269
1,2040,48001,Anderson,59243
1,2041,48001,Anderson,59230
1,2042,48001,Anderson,59189
1,2043,48001,Anderson,59169
1,2044,48001,Anderson,59144
1,2045,48001,Anderson,59099
1,2046,48001,Anderson,59074
1,2047,48001,Anderson,59065
1,2048,48001,Anderson,59029
1,2049,48001,Anderson,59001
1,2050,48001,Anderson,58964
1,2051,48001,Anderson,58937
1,2052,48001,Anderson,58909
1,2053,48001,Anderson,58887
1,2054,48001,Anderson,58837
1,2055,48001,Anderson,58819
1,2056,48001,Anderson,58771
1,2057,48001,Anderson,58743
1,2058,48001,Anderson,58698
1,2059,48001,Anderson,58660
1,2060,48001,Anderson,58619
1,2020,48003,Andrews,18610
1,2021,48003,Andrews,18987
1,2022,48003,Andrews,19389
1,2023,48003,Andrews,19791
1,2024,48003,Andrews,20208
1,2025,48003,Andrews,20627
1,2026,48003,Andrews,21088
1,2027,48003,Andrews,21539
1,2028,48003,Andrews,22011
1,2029,48003,Andrews,22492
1,2030,48003,Andrews,22997
1,2031,48003,Andrews,23519
1,2032,48003,Andrews,24069
1,2033,48003,Andrews,24617
1,2034,48003,Andrews,25215
1,2035,48003,Andrews,25814
1,2036,48003,Andrews,26424
1,2037,48003,Andrews,27047
1,2038,48003,Andrews,27683
1,2039,48003,Andrews,28335
1,2040,48003,Andrews,28993
1,2041,48003,Andrews,29658
1,2042,48003,Andrews,30346
1,2043,48003,Andrews,31028
1,2044,48003,Andrews,31693
1,2045,48003,Andrews,32386
1,2046,48003,Andrews,33089
1,2047,48003,Andrews,33778
1,2048,48003,Andrews,34452
1,2049,48003,Andrews,35151
1,2050,48003,Andrews,35825
1,2051,48003,Andrews,36505
1,2052,48003,Andrews,37175
1,2053,48003,Andrews,37859
1,2054,48003,Andrews,38532
1,2055,48003,Andrews,39217
1,2056,48003,Andrews,39897
1,2057,48003,Andrews,40585
1,2058,48003,Andrews,41289
1,2059,48003,Andrews,41990
1,2060,48003,Andrews,42717
1,2020,48005,Angelina,86395
1,2021,48005,Angelina,86581
1,2022,48005,Angelina,86788
1,2023,48005,Angelina,86984
1,2024,48005,Angelina,87169
1,2025,48005,Angelina,87338
1,2026,48005,Angelina,87509
1,2027,48005,Angelina,87667
1,2028,48005,Angelina,87795
1,2029,48005,Angelina,87928
